 62  0.04533  0.09066  0.01917  0.00095  5.04614  0.89146   111.98326 483.51078
 63  0.04521  0.09042  0.01968  0.00104  5.05734  0.93981   88.50982 492.96072
 64  0.04509  0.09018  0.02018  0.00113  5.06619  0.98911   65.40765 501.94291
 65  0.04497  0.08994  0.02069  0.00123  5.07273  1.03930   42.70002 510.43612
 66  0.04485  0.08969  0.02120  0.00133  5.07700  1.09035   20.40953 518.41988
 67  0.04472  0.08944  0.02171  0.00144  5.07904  1.14219   -1.44195 525.87452
 68  0.04460  0.08919  0.02221  0.00156  5.07890  1.19478   -22.83332 532.78117
 69  0.04447  0.08893  0.02272  0.00168  5.07661  1.24805   -43.74425 539.12183
 70  0.04434  0.08867  0.02323  0.00180  5.07224  1.30197   -64.15524 544.87940
 71  0.04420  0.08841  0.02374  0.00193  5.06582  1.35645   -84.04766 550.03767
 72  0.04407  0.08814  0.02424  0.00207  5.05742  1.41146   -103.40375 554.58139
 73  0.04394  0.08787  0.02475  0.00221  5.04708  1.46692   -122.20666 558.49627
 74  0.04380  0.08760  0.02525  0.00236  5.03486  1.52277   -140.44046 561.76905
 75  0.04366  0.08732  0.02576  0.00251  5.02081  1.57894   -158.09021 564.38745
 76  0.04352  0.08704  0.02626  0.00267  5.00501  1.63538   -175.14193 566.34025
 77  0.04338  0.08675  0.02676  0.00283  4.98749  1.69202   -191.58265 567.61729
 78  0.04323  0.08646  0.02726  0.00300  4.96833  1.74878   -207.40043 568.20951
 79  0.04309  0.08617  0.02776  0.00317  4.94759  1.80560   -222.58434 568.10890
 80  0.04294  0.08588  0.02825  0.00335  4.92534  1.86241   -237.12454 567.30862
 81  0.04279  0.08558  0.02874  0.00354  4.90162  1.91914   -251.01225 565.80291
 82  0.04264  0.08528  0.02923  0.00373  4.87652  1.97572   -264.23974 563.58715
 83  0.04249  0.08497  0.02972  0.00393  4.85010  2.03208   -276.80042 560.65788
 84  0.04233  0.08466  0.03021  0.00413  4.82242  2.08815   -288.68875 557.01279
 85  0.04218  0.08435  0.03069  0.00434  4.79355  2.14385   -299.90034 552.65070
 86  0.04202  0.08404  0.03117  0.00456  4.76356  2.19911   -310.43188 547.57162
 87  0.04186  0.08372  0.03164  0.00478  4.73252  2.25387   -320.28118 541.77670
 88  0.04170  0.08340  0.03212  0.00500  4.70049  2.30805   -329.44717 535.26824
 89  0.04154  0.08307  0.03259  0.00523  4.66754  2.36157   -337.92989 528.04972
 90  0.04137  0.08274  0.03305  0.00547  4.63375  2.41438   -345.73048 520.12576
 91  0.04121  0.08241  0.03352  0.00571  4.59918  2.46639   -352.85120 511.50211
 92  0.04104  0.08208  0.03398  0.00596  4.56389  2.51754   -359.29540 502.18567
 93  0.04087  0.08174  0.03443  0.00621  4.52796  2.56776   -365.06753 492.18447
 94  0.04070  0.08140  0.03489  0.00646  4.49145  2.61698   -370.17310 481.50763
 95  0.04053  0.08105  0.03533  0.00673  4.45444  2.66513   -374.61871 470.16538
 96  0.04035  0.08071  0.03578  0.00699  4.41698  2.71215   -378.41201 458.16905
 97  0.04018  0.08036  0.03622  0.00726  4.37913  2.75796   -381.56168 445.53101
 98  0.04000  0.08000  0.03666  0.00754  4.34098  2.80252   -384.07742 432.26469
 99  0.03982  0.07964  0.03709  0.00782  4.30257  2.84574   -385.96996 418.38452
100  0.03964  0.07928  0.03752  0.00810  4.26397  2.88758   -387.25099 403.90595
101  0.03946  0.07892  0.03795  0.00839  4.22525  2.92797   -387.93317 388.84542
102  0.03928  0.07855  0.03837  0.00869  4.18646  2.96686   -388.03010 373.22029
103  0.03909  0.07818  0.03879  0.00898  4.14765  3.00418   -387.55628 357.04886
104  0.03891  0.07781  0.03921  0.00928  4.10890  3.03988   -386.52713 340.35031
105  0.03872  0.07744  0.03962  0.00959  4.07024  3.07392   -384.95888 323.14471
106  0.03853  0.07706  0.04002  0.00989  4.03175  3.10623   -382.86865 305.45292
107  0.03834  0.07667  0.04043  0.01021  3.99346  3.13678   -380.27430 287.29664
108  0.03814  0.07629  0.04083  0.01052  3.95543  3.16551   -377.19452 268.69830
109  0.03795  0.07590  0.04122  0.01084  3.91771  3.19238   -373.64868 249.68107
110  0.03776  0.07551  0.04161  0.01115  3.88035  3.21734   -369.65689 230.26882
111  0.03756  0.07512  0.04200  0.01148  3.84338  3.24037   -365.23991 210.48605
112  0.03736  0.07472  0.04239  0.01180  3.80686  3.26142   -360.41914 190.35789
113  0.03716  0.07432  0.04277  0.01213  3.77082  3.28046   -355.21658 169.91003
114  0.03696  0.07392  0.04314  0.01245  3.73530  3.29745   -349.65476 149.16871
115  0.03676  0.07351  0.04352  0.01278  3.70033  3.31236   -343.75675 128.16064
116  0.03655  0.07310  0.04389  0.01312  3.66595  3.32518   -337.54610 106.91300
117  0.03635  0.07269  0.04425  0.01345  3.63220  3.33587   -331.04678 85.45334
118  0.03614  0.07228  0.04462  0.01378  3.59910  3.34442   -324.28318 63.80961
119  0.03593  0.07186  0.04498  0.01412  3.56667  3.35080   -317.28004 42.01005
120  0.03572  0.07144  0.04533  0.01445  3.53494  3.35500   -310.06239 20.08318
121  0.03551  0.07102  0.04569  0.01479  3.50393  3.35701   -302.65556 -1.94225
122  0.03530  0.07059  0.04604  0.01512  3.47367  3.35681   -295.08510 -24.03732
123  0.03508  0.07016  0.04639  0.01546  3.44416  3.35441   -287.37675 -46.17296
124  0.03487  0.06973  0.04673  0.01579  3.41542  3.34979   -279.55639 -68.32003
125  0.03465  0.06930  0.04707  0.01613  3.38747  3.34296   -271.64998 -90.44933
